sa3_code,sa3_name,region,area_sqkm,latitude,longitude,o_employed_persons,d_employed_persons,diff_employed_persons,o_mode_train,o_mode_bus,o_mode_ferry,o_mode_tram,o_mode_taxi,o_mode_motor_vehicle,o_mode_bicycle,o_mode_walk,o_mode_at_home,o_mode_other,o_class_public_transport,o_class_motor_vehicle,o_class_physical_activity,o_class_at_home,o_class_other,d_mode_train,d_mode_bus,d_mode_ferry,d_mode_tram,d_mode_taxi,d_mode_motor_vehicle,d_mode_bicycle,d_mode_walk,d_mode_at_home,d_mode_other,d_class_public_transport,d_class_motor_vehicle,d_class_physical_activity,d_class_at_home,d_class_other
10201,Gosford,Sydney,988.247549550814030,-33.3654178370037,151.218166624468,70942,55008,-15934,7378,925,86,19,88,47025,236,1442,3818,9925,8496,47025,1678,3818,9925,915,935,9,3,54,39926,217,1333,3475,8141,1916,39926,1550,3475,8141
10202,Wyong,Newcastle,692.611998719042960,-33.2258189296388,151.381697628743,59280,42603,-16677,2366,728,22,6,36,44679,140,902,2110,8291,3158,44679,1042,2110,8291,430,577,12,0,29,32454,135,842,1902,6222,1048,32454,977,1902,6222
10601,Lower Hunter,Newcastle,8567.548997487070700,-32.623794733439,151.224207132644,35864,34058,-1806,146,144,4,3,50,27506,85,1005,1564,5357,347,27506,1090,1564,5357,57,114,8,0,36,25911,85,1041,1592,5214,215,25911,1126,1592,5214
10602,Maitland,Newcastle,380.124957583048000,-32.7097666876091,151.548731554685,29800,24332,-5468,603,149,6,0,36,23389,88,515,925,4089,794,23389,603,925,4089,251,155,3,0,47,19232,90,502,890,3162,456,19232,592,890,3162
10603,Port Stephens,Newcastle,1071.994743069300100,-32.6974250296331,151.903557157689,27086,25618,-1468,82,264,53,0,25,20703,128,812,1202,3817,424,20703,940,1202,3817,43,182,9,3,34,19781,166,811,1149,3440,271,19781,977,1149,3440
10701,Dapto - Port Kembla,Wollongong,163.806274524519010,-34.4880969623116,150.799230045439,28734,29069,335,773,384,0,0,66,22388,133,419,573,3998,1223,22388,552,573,3998,240,318,3,0,32,23646,206,400,552,3672,593,23646,606,552,3672
10702,Illawarra Catchment Reserve,Wollongong,744.473660984520960,-34.3694461542551,150.715458520381,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,14,0,67,0,0,14
10703,Kiama - Shellharbour,Wollongong,390.903663750046010,-34.6478532959603,150.76647968206,36271,20035,-16236,658,295,0,0,40,28178,118,720,1153,5109,993,28178,838,1153,5109,127,152,3,6,16,14878,95,652,1036,3070,304,14878,747,1036,3070
10704,Wollongong,Wollongong,239.898496974621990,-34.252073499099,150.932031199169,53450,49200,-4250,3260,1179,7,14,101,37036,510,2142,1793,7408,4561,37036,2652,1793,7408,859,1303,0,7,111,35621,436,2077,1721,7065,2280,35621,2513,1721,7065
11101,Lake Macquarie - East,Newcastle,138.094719758920010,-33.0205454177941,151.661567991841,52656,38851,-13805,329,836,12,3,64,41408,280,848,1668,7208,1244,41408,1128,1668,7208,122,597,9,3,39,29881,162,796,1552,5690,770,29881,958,1552,5690
